budget,genres,homepage,id,keywords,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count
0,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10402, ""name"": ""Music""}]",,21724,"[{""id"": 897, ""name"": ""rap music""}, {""id"": 898, ""name"": ""hip-hop""}]",en,Dance Flick,"Street dancer, Thomas Uncles is from the wrong side of the tracks, but his bond with the beautiful Megan White might help the duo realize their dreams as they enter in the mother of all dance battles.",7.326034,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""MTV Films"", ""id"": 746}, {""name"": ""Wayans Bros. Entertainment"", ""id"": 1608}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2009-05-22,0,83.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,,Dance Flick,4.7,71
27000000,"[{""id"": 10751, ""name"": ""Family""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 28, ""name"": ""Action""}]",http://spykidsmovie.net/,56288,"[{""id"": 470, ""name"": ""spy""}, {""id"": 3650, ""name"": ""child hero""}, {""id"": 4289, ""name"": ""secret agent""}, {""id"": 11134, ""name"": ""espionage""}]",en,Spy Kids: All the Time in the World,"Eight years after the third film, the OSS has become the world's top spy agency, while the Spy Kids department has since become defunct. A retired spy Marissa (Jessica Alba) is thrown back into the action along with her stepchildren when a maniacal Timekeeper (Jeremy Piven) attempts to take over the world. In order to save the world, Rebecca (Rowan Blanchard) and Cecil (Mason Cook) must team up with their hated stepmother. Carmen and Juni have since also grown up and will provide gadgets to them.",14.788073,"[{""name"": ""Dimension Films"", ""id"": 7405}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2011-08-18,85564310,89.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,,Spy Kids: All the Time in the World,4.4,222
0,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",,220488,"[{""id"": 12354, ""name"": ""hong kong""}, {""id"": 184188, ""name"": ""macau""}, {""id"": 187056, ""name"": ""woman director""}]",zh,非常幸运,My Lucky Star is a 2013 Chinese romance film directed by Dennie Gordon and starring Zhang Ziyi and Leehom Wang. The film also serves as a prequel to the 2009 film Sophie's Revenge.,1.86453,"[{""name"": ""Bona International Film Group"", ""id"": 8250}]","[{""iso_3166_1"": ""CN"", ""name"": ""China""}]",2013-09-17,0,114.0,"[{""iso_639_1"": ""zh"", ""name"": ""\u666e\u901a\u8bdd""}]",Released,,My Lucky Star,4.3,8
3000000,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}]",,158015,"[{""id"": 4565, ""name"": ""dystopia""}, {""id"": 7246, ""name"": ""barricade""}, {""id"": 14903, ""name"": ""home invasion""}, {""id"": 221957, ""name"": ""constitutional convention""}, {""id"": 221958, ""name"": ""legalized murder""}, {""id"": 221960, ""name"": ""social allegory""}]",en,The Purge,"Given the country's overcrowded prisons, the U.S. government begins to allow 12-hour periods of time in which all illegal activity is legal. During one of these free-for-alls, a family must protect themselves from a home invasion.",54.403033,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Why Not Productions"", ""id"": 729}, {""name"": ""Platinum Dunes"", ""id"": 2481}, {""name"": ""Blumhouse Productions"", ""id"": 3172}, {""name"": ""20th Century Fox Russia"", ""id"": 18065}]","[{""iso_3166_1"": ""FR"", ""name"": ""France""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2013-05-31,89328627,86.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,"One night a year, all crime is legal.",The Purge,6.0,2428
12000000,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",http://www.sonyclassics.com/marriedlife/,8060,"[{""id"": 572, ""name"": ""sex""}, {""id"": 931, ""name"": ""jealousy""}, {""id"": 1808, ""name"": ""lover (female)""}, {""id"": 1946, ""name"": ""restaurant""}, {""id"": 3595, ""name"": ""deceived husband""}, {""id"": 4183, ""name"": ""wife""}, {""id"": 4481, ""name"": ""deceived wife""}, {""id"": 6054, ""name"": ""friendship""}, {""id"": 13027, ""name"": ""wedding""}, {""id"": 15155, ""name"": ""witness to murder""}, {""id"": 160246, ""name"": ""childhood friends""}]",en,Married Life,"The late 1940s. Richard Langley, a bachelor playboy, narrates a story that starts when his best friend, Harry Allen, invites him to lunch to tell Richard he's in love. Trouble is, Harry's already married to Pat; he worries Pat would be hurt too deeply by a divorce. Then, Harry's new love, Kay, joins them. Richard is smitten, so when he finds out that Pat may be in love with someone else.",3.004432,"[{""name"": ""Sidney Kimmel Entertainment"", ""id"": 737}, {""name"": ""Firm Films"", ""id"": 1838}, {""name"": ""Anonymous Content"", ""id"": 10039}]","[{""iso_3166_1"": ""CA"", ""name"": ""Canada""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2007-09-12,0,90.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,,Married Life,6.1,38
73000000,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 9648, ""name"": ""Mystery""}]",,8688,"[{""id"": 585, ""name"": ""casino""}, {""id"": 2339, ""name"": ""political activism""}, {""id"": 2792, ""name"": ""boxer""}, {""id"": 3045, ""name"": ""mission of murder""}, {""id"": 4487, ""name"": ""boxing match""}, {""id"": 9937, ""name"": ""suspense""}, {""id"": 15090, ""name"": ""police officer""}, {""id"": 15155, ""name"": ""witness to murder""}]",en,Snake Eyes,"All bets are off when corrupt homicide cop Rick Santoro witnesses a murder during a boxing match. It's up to him and lifelong friend and naval intelligence agent Kevin Dunne to uncover the conspiracy behind the killing. At every turn, Santoro makes increasingly shocking discoveries that even he can't turn a blind eye to.",20.790703,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""DeBart"", ""id"": 2519}, {""name"": ""Touchstone Pictures"", ""id"": 9195}, {""name"": ""Mel's Cite du Cinema"", ""id"": 54502}]","[{""iso_3166_1"": ""CA"", ""name"": ""Canada""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1998-08-07,103891409,98.0,"[{""iso_639_1"": ""cs"", ""name"": ""\u010cesk\u00fd""}, {""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Believe everything except your eyes.,Snake Eyes,5.8,327
40000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",,9889,"[{""id"": 2064, ""name"": ""overweight""}, {""id"": 3258, ""name"": ""beauty""}, {""id"": 3363, ""name"": ""hypnosis""}, {""id"": 4539, ""name"": ""overweight man""}, {""id"": 8663, ""name"": ""overweight woman""}, {""id"": 8664, ""name"": ""oberfl\u00e4chlichkeit""}, {""id"": 8665, ""name"": ""kompliment""}, {""id"": 9974, ""name"": ""obesity""}, {""id"": 156092, ""name"": ""fat suit""}, {""id"": 214664, ""name"": ""beauty standards""}, {""id"": 230616, ""name"": ""fat man""}, {""id"": 236373, ""name"": ""fat woman""}, {""id"": 236374, ""name"": ""attractiveness""}]",en,Shallow Hal,"A shallow man falls in love with a 300 pound woman because of her ""inner beauty"".",29.854773,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2001-11-01,141069860,114.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Are You A Shallow Guy?,Shallow Hal,5.7,731
17000000,"[{""id"": 35, ""name"": ""Comedy""}]",,9429,"[{""id"": 1759, ""name"": ""night life""}, {""id"": 2334, ""name"": ""nightclub""}, {""id"": 2382, ""name"": ""flower""}, {""id"": 2779, ""name"": ""flower shop""}, {""id"": 6664, ""name"": ""make a match""}, {""id"": 10254, ""name"": ""clubbing""}]",en,A Night at the Roxbury,"Despite being well into adulthood, brothers Doug and Steve Butabi still live at home and work in the flower shop owned by their dad. They exist only to hit on women at discos, though they're routinely unsuccessful until a chance run-in with Richard Grieco gets them inside the swank Roxbury club. Mistaken for high rollers, they meet their dream women, Vivica and Cambi, and resolve to open a club of their own.",12.709227,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""SNL Studios"", ""id"": 2822}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1998-10-01,30331165,81.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Score!,A Night at the Roxbury,5.9,198
145000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 12, ""name"": ""Adventure""}]",http://www.missionimpossible.com/,56292,"[{""id"": 1721, ""name"": ""fight""}, {""id"": 9663, ""name"": ""sequel""}, {""id"": 10364, ""name"": ""mission""}, {""id"": 14601, ""name"": ""explosion""}, {""id"": 17992, ""name"": ""broken arm""}, {""id"": 156395, ""name"": ""imax""}, {""id"": 156767, ""name"": ""nuclear threat""}]",en,Mission: Impossible - Ghost Protocol,"In the 4th installment of the Mission Impossible series, Ethan Hunt (Cruise) and his team are racing against time to track down a dangerous terrorist named Hendricks (Nyqvist), who has gained access to Russian nuclear launch codes and is planning a strike on the United States. An attempt to stop him ends in an explosion causing severe destruction to the Kremlin and the IMF to be implicated in the bombing, forcing the President to disavow them. No longer being aided by the government, Ethan and his team chase Hendricks around the globe, although they might still be too late to stop a disaster.",77.77477,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Skydance Productions"", ""id"": 6277}, {""name"": ""Bad Robot"", ""id"": 11461}, {""name"": ""TC Productions"", ""id"": 21777}, {""name"": ""Revolution Sun Studios"", ""id"": 76043}, {""name"": ""Kontsept Film Company"", ""id"": 76067}]","[{""iso_3166_1"": ""CZ"", ""name"": ""Czech Republic""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""AE"", ""name"": ""United Arab Emirates""}]",2011-12-07,694713380,133.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""ru"", ""name"": ""P\u0443\u0441\u0441\u043a\u0438\u0439""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}, {""iso_639_1"": ""ar"", ""name"": ""\u0627\u0644\u0639\u0631\u0628\u064a\u0629""}, {""iso_639_1"": ""sv"", ""name"": ""svenska""}]",Released,No Plan. No Backup. No Choice.,Mission: Impossible - Ghost Protocol,6.8,3972
15000000,"[{""id"": 27, ""name"": ""Horror""}]",http://www.halloween2-movie.com/,24150,"[{""id"": 428, ""name"": ""nurse""}, {""id"": 1366, ""name"": ""shotgun""}, {""id"": 2483, ""name"": ""nudity""}, {""id"": 2726, ""name"": ""therapist""}, {""id"": 3096, ""name"": ""book""}, {""id"": 3335, ""name"": ""halloween""}, {""id"": 3875, ""name"": ""barn""}, {""id"": 4959, ""name"": ""death of a friend""}, {""id"": 6255, ""name"": ""insanity""}, {""id"": 9791, ""name"": ""number in title""}, {""id"": 10022, ""name"": ""rampage""}, {""id"": 10448, ""name"": ""purgatory""}, {""id"": 11612, ""name"": ""hospital""}, {""id"": 11855, ""name"": ""pentagram""}, {""id"": 11856, ""name"": ""overturning car""}, {""id"": 11857, ""name"": ""mental institution""}, {""id"": 11858, ""name"": ""red""}, {""id"": 13112, ""name"": ""murderer""}, {""id"": 14819, ""name"": ""violence""}, {""id"": 173293, ""name"": ""white horse""}, {""id"": 179431, ""name"": ""duringcreditsstinger""}, {""id"": 179565, ""name"": ""michael myers""}, {""id"": 232819, ""name"": ""phantom jam""}]",en,Halloween II,"Laurie Strode struggles to come to terms with her brother Micheal's deadly return to Haddonfield, Illinois; meanwhile, Michael prepares for another reunion with his sister.",12.929525,"[{""name"": ""Dimension Films"", ""id"": 7405}, {""name"": ""Spectacle Entertainment Group"", ""id"": 10370}, {""name"": ""Trancas International Films"", ""id"": 15822}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2009-08-28,39421467,105.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Family Is Forever,Halloween II,5.1,267
