budget,genres,homepage,id,keywords,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count
17000000,"[{""id"": 35, ""name"": ""Comedy""}]",,9429,"[{""id"": 1759, ""name"": ""night life""}, {""id"": 2334, ""name"": ""nightclub""}, {""id"": 2382, ""name"": ""flower""}, {""id"": 2779, ""name"": ""flower shop""}, {""id"": 6664, ""name"": ""make a match""}, {""id"": 10254, ""name"": ""clubbing""}]",en,A Night at the Roxbury,"Despite being well into adulthood, brothers Doug and Steve Butabi still live at home and work in the flower shop owned by their dad. They exist only to hit on women at discos, though they're routinely unsuccessful until a chance run-in with Richard Grieco gets them inside the swank Roxbury club. Mistaken for high rollers, they meet their dream women, Vivica and Cambi, and resolve to open a club of their own.",12.709227,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""SNL Studios"", ""id"": 2822}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1998-10-01,30331165,81.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Score!,A Night at the Roxbury,5.9,198
3500000,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 9648, ""name"": ""Mystery""}]",,39303,"[{""id"": 9950, ""name"": ""thriller""}, {""id"": 160313, ""name"": ""forensic""}]",en,2:13,"A police profiler has just returned from psychiatric leave only to find that he is caught up in a serial killer's rampage. Fighting to keep buried the trauma of his childhood, he must confront the all too-familiar flesh masks that the killer leaves on the faces of his victims. He must face his own demons along with the killer to save his small eroding existence.",1.271621,"[{""name"": ""Anthem Pictures"", ""id"": 23818}, {""name"": ""It's An Us Thing Productions Inc."", ""id"": 23819}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2009-04-25,0,96.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Killers Are Not Born ... They Are Made,2:13,4.6,10
9000000,"[{""id"": 35, ""name"": ""Comedy""}]",,14425,"[{""id"": 6732, ""name"": ""mascot""}, {""id"": 171691, ""name"": ""beer keg""}, {""id"": 171692, ""name"": ""political correctness""}, {""id"": 171695, ""name"": ""ultimate frisbee""}, {""id"": 171698, ""name"": ""funky music""}, {""id"": 171703, ""name"": ""fund raiser""}, {""id"": 171704, ""name"": ""stage diving""}]",en,PCU,"Nervous high school senior Tom Lawrence visits Port Chester University, where he gets a taste of politically correct college life when he's guided by fraternity wild man Droz and his housemates at The Pit. But Droz and his pals have rivals in nasty preppy Rand McPherson and the school's steely president. With their house threatened with expulsion, Droz and company decide to throw a raging party where the various factions will collide.",8.738737,"[{""name"": ""Paul Schiff Productions"", ""id"": 23596}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1994-04-29,4350774,79.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Flunk 'em if they can't take a joke.,PCU,6.0,41
25000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}]",http://www.cloverfieldmovie.com/,7191,"[{""id"": 720, ""name"": ""helicopter""}, {""id"": 1299, ""name"": ""monster""}, {""id"": 1418, ""name"": ""skyscraper""}, {""id"": 1721, ""name"": ""fight""}, {""id"": 2249, ""name"": ""camcorder""}, {""id"": 4210, ""name"": ""panic""}, {""id"": 4630, ""name"": ""chaos""}, {""id"": 6152, ""name"": ""supernatural""}, {""id"": 6898, ""name"": ""quarantine""}, {""id"": 9713, ""name"": ""friends""}, {""id"": 9951, ""name"": ""alien""}, {""id"": 10084, ""name"": ""rescue""}, {""id"": 10349, ""name"": ""survival""}, {""id"": 10617, ""name"": ""disaster""}, {""id"": 10685, ""name"": ""escape""}, {""id"": 11100, ""name"": ""giant monster""}, {""id"": 161791, ""name"": ""kaiju""}, {""id"": 162365, ""name"": ""military""}, {""id"": 163053, ""name"": ""found footage""}, {""id"": 179430, ""name"": ""aftercreditsstinger""}]",en,Cloverfield,"Five young New Yorkers throw their friend a going-away party the night that a monster the size of a skyscraper descends upon the city. Told from the point of view of their video camera, the film is a document of their attempt to survive the most surreal, horrifying event of their lives.",46.942396,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Bad Robot"", ""id"": 11461}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2008-01-15,170764026,85.0,"[{""iso_639_1"": ""ru"", ""name"": ""P\u0443\u0441\u0441\u043a\u0438\u0439""}, {""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Some Thing Has Found Us,Cloverfield,6.4,2251
149000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",http://www.dreamworksanimation.com/flushed/,11619,"[{""id"": 212, ""name"": ""london england""}, {""id"": 1449, ""name"": ""underworld""}, {""id"": 1571, ""name"": ""return""}, {""id"": 3799, ""name"": ""ship""}, {""id"": 4456, ""name"": ""frog""}, {""id"": 5490, ""name"": ""girlfriend""}, {""id"": 9345, ""name"": ""rubin""}]",en,Flushed Away,"London high-society mouse, Roddy is flushed down the toilet by Sid, a common sewer rat. Hang on for a madcap adventure deep in the sewer bowels of Ratropolis, where Roddy meets the resourceful Rita, the rodent-hating Toad and his faithful thugs, Spike and Whitey.",22.550135,"[{""name"": ""Aardman Animations"", ""id"": 297}, {""name"": ""DreamWorks Animation"", ""id"": 521}]","[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2006-10-22,64459316,85.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Someone's Going Down,Flushed Away,6.0,874
20000000,"[{""id"": 35, ""name"": ""Comedy""}]",,226486,[],en,Tammy,"After losing her job and learning that her husband has been unfaithful, a woman hits the road with her profane, hard-drinking grandmother.",21.657563,"[{""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""Gary Sanchez Productions"", ""id"": 4740}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2014-07-02,100525432,97.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,She hit the road. The road hit back.,Tammy,5.0,500
35000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10752, ""name"": ""War""}]",http://www.thepianistmovie.com/,423,"[{""id"": 30, ""name"": ""individual""}, {""id"": 836, ""name"": ""resistance""}, {""id"": 1224, ""name"": ""radio station""}, {""id"": 1327, ""name"": ""war crimes""}, {""id"": 1465, ""name"": ""loss of family""}, {""id"": 1468, ""name"": ""child murderer""}, {""id"": 1899, ""name"": ""hunger""}, {""id"": 1956, ""name"": ""world war ii""}, {""id"": 1968, ""name"": ""prisoners of war""}, {""id"": 2156, ""name"": ""homeland""}, {""id"": 2428, ""name"": ""deportation""}, {""id"": 2430, ""name"": ""hiding place""}, {""id"": 2431, ""name"": ""ghetto riot""}, {""id"": 2433, ""name"": ""jew persecution""}, {""id"": 2434, ""name"": ""liberation""}, {""id"": 2435, ""name"": ""warsaw ghetto""}, {""id"": 2436, ""name"": ""polish resistance""}, {""id"": 2652, ""name"": ""nazis""}, {""id"": 5565, ""name"": ""biography""}, {""id"": 5783, ""name"": ""classical music""}, {""id"": 11102, ""name"": ""panzer""}, {""id"": 14743, ""name"": ""pianist""}]",en,The Pianist,The Pianist is a film adapted from the biography of Wladyslaw Szpilman. A Jewish-Polish pianist who during the second world war lived and hid miraculously in Warsaw after having gone through a terrible tragedy. A film from Roman Polanski.,50.587541,"[{""name"": ""Bac Films"", ""id"": 208}, {""name"": ""Canal+Polska"", ""id"": 250}, {""name"": ""Heritage Films"", ""id"": 260}, {""name"": ""Studio Babelsberg"", ""id"": 264}, {""name"": ""Agencja Produkcji Filmowej"", ""id"": 266}, {""name"": ""Beverly Detroit"", ""id"": 267}, {""name"": ""FilmFernsehFonds Bayern"", ""id"": 268}, {""name"": ""Filmboard Berlin-Brandenburg (FBB)"", ""id"": 269}, {""name"": ""Mainstream S.A."", ""id"": 271}, {""name"": ""R.P. Productions"", ""id"": 355}, {""name"": ""StudioCanal"", ""id"": 694}, {""name"": ""Filmf\u00f6rderungsanstalt (FFA)"", ""id"": 4247}, {""name"": ""Canal+"", ""id"": 5358}, {""name"": ""Interscope Communications"", ""id"": 10201}, {""name"": ""Telewizja Polska (TVP)"", ""id"": 19150}, {""name"": ""Runteam"", ""id"": 31087}]","[{""iso_3166_1"": ""FR"", ""name"": ""France""}, {""iso_3166_1"": ""DE"", ""name"": ""Germany""}, {""iso_3166_1"": ""PL"", ""name"": ""Poland""}, {""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}]",2002-09-24,120072577,150.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""de"", ""name"": ""Deutsch""}, {""iso_639_1"": ""ru"", ""name"": ""P\u0443\u0441\u0441\u043a\u0438\u0439""}]",Released,Music was his passion. Survival was his masterpiece.,The Pianist,8.0,1864
20000000,"[{""id"": 35, ""name"": ""Comedy""}]",,4258,"[{""id"": 9663, ""name"": ""sequel""}, {""id"": 9755, ""name"": ""parody""}, {""id"": 11931, ""name"": ""spoof""}, {""id"": 179430, ""name"": ""aftercreditsstinger""}, {""id"": 179431, ""name"": ""duringcreditsstinger""}]",en,Scary Movie 5,"Home with their newly-formed family, happy parents Dan and Jody are haunted by sinister, paranormal activities. Determined to expel the insidious force, they install security cameras and discover their family is being stalked by an evil dead demon.",36.819044,"[{""name"": ""Dimension Films"", ""id"": 7405}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2013-04-11,78378744,86.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Evil is coming. Bring protection.,Scary Movie 5,4.6,793
46000000,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]",,320,"[{""id"": 703, ""name"": ""detective""}, {""id"": 718, ""name"": ""confession""}, {""id"": 1812, ""name"": ""fbi""}, {""id"": 1849, ""name"": ""homicide""}, {""id"": 1936, ""name"": ""blackmail""}, {""id"": 3879, ""name"": ""suspect""}, {""id"": 9673, ""name"": ""love""}, {""id"": 9826, ""name"": ""murder""}, {""id"": 12670, ""name"": ""los angeles""}, {""id"": 13130, ""name"": ""teenager""}, {""id"": 207268, ""name"": ""neo-noir""}]",en,Insomnia,Two Los Angeles homicide detectives are dispatched to a northern town where the sun doesn't set to investigate the methodical murder of a local teen.,41.322708,"[{""name"": ""Section Eight"", ""id"": 129}, {""name"": ""Alcon Entertainment"", ""id"": 1088}, {""name"": ""Witt/Thomas Productions"", ""id"": 1089}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2002-05-24,113714830,118.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,A tough cop. A brilliant killer. An unspeakable crime.,Insomnia,6.8,1148
0,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",,15976,"[{""id"": 237, ""name"": ""gay""}]",he,Ha-Buah,"The movie follows a group of young friends in the city of Tel Aviv and is as much a love song to the city as it is an exploration of the claim that people in Tel Aviv are isolated from the rest of the country and the turmoil it's going through. The movie looks at young people's lives in Tel Aviv through the POVs of gays and straights, Jews and Arabs, men and women.",1.49436,"[{""name"": ""Metro Productions"", ""id"": 633}, {""name"": ""Israeli Film Fund"", ""id"": 4520}, {""name"": ""Keshet Hot"", ""id"": 93101}, {""name"": ""Uchovsky Fox"", ""id"": 93102}, {""name"": ""Ronen Ben-Tal Films"", ""id"": 93103}, {""name"": ""Feingold Productions"", ""id"": 93104}]","[{""iso_3166_1"": ""FR"", ""name"": ""France""}, {""iso_3166_1"": ""IL"", ""name"": ""Israel""}]",2006-06-06,0,114.0,"[{""iso_639_1"": ""he"", ""name"": ""\u05e2\u05b4\u05d1\u05b0\u05e8\u05b4\u05d9\u05ea""}]",Released,,The Bubble,7.6,20
