budget,genres,homepage,id,keywords,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count
59000000,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 12, ""name"": ""Adventure""}]",http://www.iceagemovies.com/films/ice-age,425,"[{""id"": 311, ""name"": ""human evolution""}, {""id"": 970, ""name"": ""parents kids relationship""}, {""id"": 990, ""name"": ""squirrel""}, {""id"": 1445, ""name"": ""ice""}, {""id"": 1452, ""name"": ""loss of child""}, {""id"": 2078, ""name"": ""mammoth""}, {""id"": 2079, ""name"": ""sloth""}, {""id"": 3737, ""name"": ""dying and death""}, {""id"": 4428, ""name"": ""stone age""}, {""id"": 10506, ""name"": ""prehistoric""}, {""id"": 158017, ""name"": ""saber-toothed tiger""}, {""id"": 159955, ""name"": ""cavemen""}, {""id"": 166958, ""name"": ""prehistoric creature""}, {""id"": 178645, ""name"": ""prehistoric adventure""}, {""id"": 183414, ""name"": ""prehistoric times""}, {""id"": 192918, ""name"": ""prehistoric man""}]",en,Ice Age,"With the impending ice age almost upon them, a mismatched trio of prehistoric critters – Manny the woolly mammoth, Diego the saber-toothed tiger and Sid the giant sloth – find an orphaned infant and decide to return it to its human parents. Along the way, the unlikely allies become friends but, when enemies attack, their quest takes on far nobler aims.",99.561972,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Blue Sky Studios"", ""id"": 9383}, {""name"": ""Twentieth Century Fox Animation"", ""id"": 11749}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2002-03-10,383257136,81.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,They came. They thawed. They conquered.,Ice Age,7.1,3857
7000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}]",,10117,"[{""id"": 797, ""name"": ""showdown""}, {""id"": 2619, ""name"": ""suspicion of murder""}, {""id"": 2792, ""name"": ""boxer""}, {""id"": 4906, ""name"": ""suspension""}, {""id"": 10291, ""name"": ""organized crime""}, {""id"": 10950, ""name"": ""shootout""}, {""id"": 15483, ""name"": ""car chase""}, {""id"": 18021, ""name"": ""detroit""}, {""id"": 18179, ""name"": ""drug addict""}, {""id"": 18522, ""name"": ""one against many""}, {""id"": 157584, ""name"": ""megalomaniac""}, {""id"": 178539, ""name"": ""maverick cop""}, {""id"": 180172, ""name"": ""framed for murder""}, {""id"": 188933, ""name"": ""bar fight""}, {""id"": 204904, ""name"": ""exploding boat""}, {""id"": 219404, ""name"": ""action hero""}]",en,Action Jackson,Vengence drives a tough Detroit cop to stay on the trail of a power hungry auto magnate who's systematically eliminating his competition.,6.872784,"[{""name"": ""Silver Pictures"", ""id"": 1885}, {""name"": ""Lorimar Motion Pictures"", ""id"": 1887}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1988-02-12,20256975,96.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}]",Released,It's Time For,Action Jackson,4.9,50
300000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]",http://www.piecesofaprilmovie.com/,1550,"[{""id"": 572, ""name"": ""sex""}, {""id"": 4543, ""name"": ""thanksgiving""}, {""id"": 7312, ""name"": ""road trip""}, {""id"": 9673, ""name"": ""love""}, {""id"": 10183, ""name"": ""independent film""}, {""id"": 10226, ""name"": ""neighbor""}, {""id"": 10776, ""name"": ""marijuana""}, {""id"": 18035, ""name"": ""family""}, {""id"": 40895, ""name"": ""illness""}]",en,Pieces of April,"Quirky and rebellious April Burns lives with her boyfriend in a low-rent New York City apartment miles away from her emotionally distant family. But when she discovers that her mother has a fatal form of breast cancer, she invites the clan to her place for Thanksgiving. While her father struggles to drive her family into the city, April -- an inexperienced cook -- runs into kitchen trouble and must ask a neighbor for help.",4.270596,"[{""name"": ""Kalkaska Productions"", ""id"": 728}, {""name"": ""IFC Productions"", ""id"": 26468}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2003-01-19,0,81.0,"[{""iso_639_1"": ""zh"", ""name"": ""\u666e\u901a\u8bdd""}, {""iso_639_1"": ""en"", ""name"": ""English""}]",Released,She's the one in every family.,Pieces of April,6.4,64
45000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 878, ""name"": ""Science Fiction""}]",,926,"[{""id"": 2902, ""name"": ""space battle""}, {""id"": 9831, ""name"": ""spaceship""}, {""id"": 11931, ""name"": ""spoof""}, {""id"": 179781, ""name"": ""fictional tv show""}]",en,Galaxy Quest,"The stars of a 1970s sci-fi show - now scraping a living through re-runs and sci-fi conventions - are beamed aboard an alien spacecraft. Believing the cast's heroic on-screen dramas are historical documents of real-life adventures, the band of aliens turn to the ailing celebrities for help in their quest to overcome the oppressive regime in their solar system.",30.816341,"[{""name"": ""DreamWorks SKG"", ""id"": 27}, {""name"": ""Gran Via Productions"", ""id"": 2605}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1999-12-23,90683916,102.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,A comedy of Galactic Proportions.,Galaxy Quest,6.9,710
20000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",,33644,"[{""id"": 577, ""name"": ""black people""}, {""id"": 965, ""name"": ""age difference""}, {""id"": 3266, ""name"": ""jamaica""}, {""id"": 6876, ""name"": ""vacation""}, {""id"": 11322, ""name"": ""female protagonist""}]",en,How Stella Got Her Groove Back,"Through good times and bad, Stella and Delilah have always had each other. Now, Stella's so busy building a life that she's forgotten how to really live. But Delilah is about to change all that. What starts as a quick trip to Jamaica, end as an exhilarating voyage of self discovery as Stella learns to open her heart and find love - even if it's with a man 20 years her junior.",2.003047,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1998-08-14,37672350,124.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Sometimes you have to break the rules to free your heart.,How Stella Got Her Groove Back,6.0,24
0,"[{""id"": 10751, ""name"": ""Family""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]",,12154,"[{""id"": 1009, ""name"": ""baby""}, {""id"": 1253, ""name"": ""roommate""}, {""id"": 1338, ""name"": ""bachelor""}, {""id"": 8508, ""name"": ""party""}, {""id"": 9549, ""name"": ""windeln""}, {""id"": 215320, ""name"": ""solteros""}]",es,Three Men and a Baby,Three bachelors find themselves forced to take care of a baby left by one of the guy's girlfriends.,12.335827,"[{""name"": ""Touchstone Pictures"", ""id"": 9195}, {""name"": ""Interscope Communications"", ""id"": 10201}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1987-11-27,0,102.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}, {""iso_639_1"": ""ru"", ""name"": ""P\u0443\u0441\u0441\u043a\u0438\u0439""}]",Released,They changed her diapers. She changed their lives.,Three Men and a Baby,5.8,253
7000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",,2074,"[{""id"": 5498, ""name"": ""lsd""}, {""id"": 6230, ""name"": ""looking for  birth parents""}, {""id"": 6231, ""name"": ""half-brother""}, {""id"": 10183, ""name"": ""independent film""}]",en,Flirting with Disaster,"Adopted as a child, new father Mel Colpin (Ben Stiller) decides he cannot name his son until he knows his birth parents, and determines to make a cross-country quest to find them. Accompanied by his wife, Nancy (Patricia Arquette), and an inept yet gorgeous adoption agent, Tina (Tea Leoni), he departs on an epic road trip that quickly devolves into a farce of mistaken identities, wrong turns, and overzealous and love-struck ATF agents (Josh Brolin, Richard Jenkins).",5.500324,"[{""name"": ""Miramax Films"", ""id"": 14}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1996-03-22,14702438,92.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,"A comedy about sex, love, family and other accidents waiting to happen.",Flirting with Disaster,6.3,66
0,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 878, ""name"": ""Science Fiction""}]",http://www.containment-film.com/,347548,[],en,Containment,Neighbors in a block wake one morning to find they have been sealed inside their apartments. Can they work together to find out why? Or will they destroy each other in their fight to escape?,2.122451,"[{""name"": ""Bright Cold Day Films"", ""id"": 71899}, {""name"": ""Patchwork Productions"", ""id"": 71900}, {""name"": ""Bandoola Productions"", ""id"": 71901}]","[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}]",2015-07-09,0,77.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,No water. No power. No explanation. No escape.,Containment,5.1,36
23000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",,11632,"[{""id"": 212, ""name"": ""london england""}, {""id"": 4107, ""name"": ""british empire""}, {""id"": 4320, ""name"": ""lover""}, {""id"": 5212, ""name"": ""advancement""}, {""id"": 155697, ""name"": ""aristocrat""}, {""id"": 187056, ""name"": ""woman director""}]",en,Vanity Fair,"Beautiful, funny, passionate, and calculating, Becky is the orphaned daughter of a starving English artist and a French chorus girl. She yearns for a more glamorous life than her birthright promises and resolves to conquer English society by any means possible. A mere ascension into the heights of society is simply not enough. So Becky finds a patron in the powerful Marquess of Steyne whose whims enable Becky to realise her dreams. But is the ultimate cost too high for her?",6.618149,"[{""name"": ""Alliance Films"", ""id"": 2514}, {""name"": ""Focus Features"", ""id"": 10146}]","[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2004-09-01,16123851,141.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}, {""iso_639_1"": ""de"", ""name"": ""Deutsch""}]",Released,"On September 1st, a heroine will rise.",Vanity Fair,5.5,73
60000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]",,6947,"[{""id"": 1328, ""name"": ""secret""}, {""id"": 5774, ""name"": ""forest""}, {""id"": 11004, ""name"": ""rural setting""}, {""id"": 164092, ""name"": ""blindness""}, {""id"": 164663, ""name"": ""courtship""}, {""id"": 170179, ""name"": ""mentally handicapped man""}, {""id"": 206706, ""name"": ""human nature""}, {""id"": 220979, ""name"": ""aura""}, {""id"": 233027, ""name"": ""romantic""}, {""id"": 233324, ""name"": ""village council""}]",en,The Village,"When a willful young man tries to venture beyond his sequestered Pennsylvania hamlet, his actions set off a chain of chilling incidents that will alter the community forever.",27.491891,"[{""name"": ""Scott Rudin Productions"", ""id"": 258}, {""name"": ""Touchstone Pictures"", ""id"": 9195}, {""name"": ""Blinding Edge Pictures"", ""id"": 12236}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2004-07-30,256697520,108.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,There is no turning back,The Village,6.2,1071
