budget,genres,homepage,id,keywords,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count
0,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 878, ""name"": ""Science Fiction""}]",,11687,"[{""id"": 964, ""name"": ""servant""}, {""id"": 4379, ""name"": ""time travel""}, {""id"": 5347, ""name"": ""clumsy fellow""}, {""id"": 41406, ""name"": ""middle ages""}, {""id"": 177998, ""name"": ""nobility""}]",fr,Les visiteurs,"This outrageous time-travel comedy follows the misadventures of a wacky medieval knight (Jean Reno) and his faithful servant when they are accidentally transported to contemporary times by a senile sorcererMayhem rules as these 12th-century visitors try adapting to the wildly confusing modern world. To avoid being stuck here for good, however, they soon begin an all-out cosmic assault on their former castle -- now a luxury hotel -- in their quest to return to the past",8.893676,"[{""name"": ""Canal Plus"", ""id"": 104}, {""name"": ""Gaumont International"", ""id"": 7961}, {""name"": ""France 3 Cinema"", ""id"": 16804}]","[{""iso_3166_1"": ""FR"", ""name"": ""France""}]",1993-01-27,0,107.0,"[{""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}]",Released,They Weren't Born Yesterday!,The Visitors,7.1,420
7000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}]",http://www.mgm.com/view/movie/1130/Live-and-Let-Die/,253,"[{""id"": 212, ""name"": ""london england""}, {""id"": 242, ""name"": ""new york""}, {""id"": 258, ""name"": ""bomb""}, {""id"": 392, ""name"": ""england""}, {""id"": 470, ""name"": ""spy""}, {""id"": 798, ""name"": ""sheriff""}, {""id"": 851, ""name"": ""dual identity""}, {""id"": 1308, ""name"": ""secret identity""}, {""id"": 2149, ""name"": ""drug traffic""}, {""id"": 2591, ""name"": ""tarot cards""}, {""id"": 2671, ""name"": ""heroin""}, {""id"": 3185, ""name"": ""crocodile""}, {""id"": 3266, ""name"": ""jamaica""}, {""id"": 3269, ""name"": ""secret mission""}, {""id"": 3272, ""name"": ""secret intelligence service""}, {""id"": 3390, ""name"": ""motorboat""}, {""id"": 3391, ""name"": ""drug smuggle""}, {""id"": 3392, ""name"": ""voodoo""}, {""id"": 3393, ""name"": ""tombstone""}, {""id"": 179430, ""name"": ""aftercreditsstinger""}]",en,Live and Let Die,James Bond must investigate a mysterious murder case of a British agent in New Orleans. Soon he finds himself up against a gangster boss named Mr. Big.,30.465138,"[{""name"": ""United Artists"", ""id"": 60}, {""name"": ""Eon Productions"", ""id"": 7576}, {""name"": ""Danjaq"", ""id"": 10761}]","[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}]",1973-07-05,161777836,121.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""hu"", ""name"": ""Magyar""}]",Released,Roger Moore is James Bond.,Live and Let Die,6.4,533
27000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 10749, ""name"": ""Romance""}]",,79698,[],en,The Lovers,"The Lovers is an epic romance time travel adventure film. Helmed by Roland Joffé from a story by Ajey Jhankar, the film is a sweeping tale of an impossible love set against the backdrop of the first Anglo-Maratha war across two time periods and continents and centred around four characters — a British officer in 18th century colonial India, the Indian woman he falls deeply in love with, an American present-day marine biologist and his wife.",2.418535,"[{""name"": ""Corsan"", ""id"": 7299}, {""name"": ""Bliss Media"", ""id"": 8186}, {""name"": ""Limelight International Media Entertainment"", ""id"": 8187}, {""name"": ""Neelmudra Entertainment"", ""id"": 8188}, {""name"": ""Aristos Films"", ""id"": 76098}, {""name"": ""Singularity Productions"", ""id"": 76099}, {""name"": ""Wildkite"", ""id"": 76100}]","[{""iso_3166_1"": ""AU"", ""name"": ""Australia""}, {""iso_3166_1"": ""BE"", ""name"": ""Belgium""}, {""iso_3166_1"": ""IN"", ""name"": ""India""}]",2015-02-13,0,109.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Love is longer than life.,The Lovers,4.8,34
0,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}]",,9433,"[{""id"": 1003, ""name"": ""photographer""}, {""id"": 2522, ""name"": ""grizzly bear""}, {""id"": 3593, ""name"": ""wilderness""}, {""id"": 3800, ""name"": ""airplane""}, {""id"": 4522, ""name"": ""supermodel""}, {""id"": 4811, ""name"": ""emergency landing""}, {""id"": 9937, ""name"": ""suspense""}, {""id"": 10349, ""name"": ""survival""}, {""id"": 10468, ""name"": ""bear""}, {""id"": 223059, ""name"": ""animal horror""}]",en,The Edge,"The plane carrying wealthy Charles Morse crashes down in the Alaskan wilderness. Together with the two other passengers, photographer Robert and assistant Stephen, Charles devises a plan to help them reach civilization. However, his biggest obstacle might not be the elements, or even the Kodiak bear stalking them -- it could be Robert, whom Charles suspects is having an affair with his wife and would not mind seeing him dead.",20.632673,"[{""name"": ""Art Linson Productions"", ""id"": 8769}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1997-09-06,43312294,117.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}, {""iso_639_1"": ""ru"", ""name"": ""P\u0443\u0441\u0441\u043a\u0438\u0439""}]",Released,"They were fighting over a woman when the plane went down. Now, their only chance for survival is each other.",The Edge,6.7,349
20000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}]",http://www.lockoutfilm.com/,81796,"[{""id"": 840, ""name"": ""usa president""}, {""id"": 2095, ""name"": ""anti hero""}, {""id"": 2689, ""name"": ""dementia""}, {""id"": 2964, ""name"": ""future""}, {""id"": 9882, ""name"": ""space""}, {""id"": 15234, ""name"": ""convict""}, {""id"": 15271, ""name"": ""interrogation""}, {""id"": 156039, ""name"": ""space station""}, {""id"": 190004, ""name"": ""collision in space""}, {""id"": 190005, ""name"": ""year 2079""}]",en,Lockout,"Set in the near future, Lockout follows a falsely convicted ex-government agent , whose one chance at obtaining freedom lies in the dangerous mission of rescuing the President's daughter from rioting convicts at an outer space maximum security prison.",35.232278,"[{""name"": ""Canal+"", ""id"": 5358}, {""name"": ""EuropaCorp"", ""id"": 6896}, {""name"": ""Cin\u00e9+"", ""id"": 10611}]","[{""iso_3166_1"": ""FR"", ""name"": ""France""}]",2012-04-12,32204030,95.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Take no prisoners.,Lockout,5.8,715
35000000,"[{""id"": 35, ""name"": ""Comedy""}]",,16363,"[{""id"": 1411, ""name"": ""brothel""}, {""id"": 1457, ""name"": ""corset""}, {""id"": 2901, ""name"": ""crusader""}, {""id"": 4344, ""name"": ""musical""}, {""id"": 5744, ""name"": ""governor""}, {""id"": 13424, ""name"": ""tv reporter""}, {""id"": 33613, ""name"": ""madame""}, {""id"": 155273, ""name"": ""busty""}, {""id"": 156187, ""name"": ""cat house""}, {""id"": 158375, ""name"": ""based on stage musical""}, {""id"": 163440, ""name"": ""based on adaptation""}, {""id"": 165340, ""name"": ""based on article""}, {""id"": 165347, ""name"": ""swearing""}]",en,The Best Little Whorehouse in Texas,"The town sheriff and a madame team up to stop a television evangelist from shutting down the local whorehouse, the famed ""Chicken Ranch.""",4.189378,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""RKO"", ""id"": 5902}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1982-07-23,69701637,114.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,With Burt and Dolly this much fun just couldn't be legal!,The Best Little Whorehouse in Texas,5.9,41
25000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",http://www.blindness-themovie.com/,8338,"[{""id"": 1721, ""name"": ""fight""}, {""id"": 1741, ""name"": ""blindness and impaired vision""}, {""id"": 2884, ""name"": ""asylum""}, {""id"": 3077, ""name"": ""leader""}, {""id"": 3679, ""name"": ""society""}, {""id"": 8047, ""name"": ""eye specialist""}, {""id"": 8862, ""name"": ""uprising""}, {""id"": 34161, ""name"": ""doomsday""}, {""id"": 188959, ""name"": ""plague""}]",en,Blindness,"When a sudden plague of blindness devastates a city, a small group of the afflicted band together to triumphantly overcome the horrific conditions of their imposed quarantine.",17.603823,"[{""name"": ""Rhombus Media"", ""id"": 164}, {""name"": ""O2 Filmes"", ""id"": 345}, {""name"": ""T\u00e9l\u00e9film Canada"", ""id"": 806}, {""name"": ""Bee Vine Pictures"", ""id"": 2439}, {""name"": ""Alliance Films"", ""id"": 2514}, {""name"": ""Asmik Ace Entertainment"", ""id"": 3033}, {""name"": ""GAGA"", ""id"": 3656}, {""name"": ""Fox Filmes do Brasil"", ""id"": 4887}, {""name"": ""Ancine"", ""id"": 11547}, {""name"": ""BNDES"", ""id"": 11548}, {""name"": ""Cinema Investment"", ""id"": 11549}, {""name"": ""Corus Entertainment"", ""id"": 11550}, {""name"": ""Movie Central Network"", ""id"": 11551}]","[{""iso_3166_1"": ""BR"", ""name"": ""Brazil""}, {""iso_3166_1"": ""CA"", ""name"": ""Canada""}, {""iso_3166_1"": ""JP"", ""name"": ""Japan""}]",2008-05-14,19844979,121.0,"[{""iso_639_1"": ""ja"", ""name"": ""\u65e5\u672c\u8a9e""}, {""iso_639_1"": ""en"", ""name"": ""English""}]",Released,,Blindness,6.4,387
9000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 12, ""name"": ""Adventure""}]",,11282,"[{""id"": 380, ""name"": ""brother brother relationship""}, {""id"": 587, ""name"": ""amsterdam""}, {""id"": 1820, ""name"": ""trip""}, {""id"": 7312, ""name"": ""road trip""}, {""id"": 8224, ""name"": ""cannabis""}, {""id"": 10776, ""name"": ""marijuana""}, {""id"": 11148, ""name"": ""police chase""}, {""id"": 11492, ""name"": ""smoking marijuana""}, {""id"": 15214, ""name"": ""buddy""}, {""id"": 54169, ""name"": ""stoner""}, {""id"": 157748, ""name"": ""fast food""}, {""id"": 162914, ""name"": ""one night""}, {""id"": 167541, ""name"": ""buddy comedy""}, {""id"": 167631, ""name"": ""munchies""}, {""id"": 167642, ""name"": ""crop circle""}, {""id"": 167656, ""name"": ""rich parents""}, {""id"": 167663, ""name"": ""car siren""}, {""id"": 167664, ""name"": ""blood spurting""}]",en,Harold & Kumar Go to White Castle,"Sometimes, it takes a strange night to put everything else into focus. And that's exactly what happens to Harold and his roommate, Kumar, when they set out to get the best stoner fix money can buy: White Castle hamburgers. Both guys are at a crossroads, about to make major decisions that will affect the course of their lives. Yet they arrive at wisdom by accident as they drive around New Jersey in search of fast food.",18.514292,"[{""name"": ""New Line Cinema"", ""id"": 12}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2004-05-30,23936908,88.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""hi"", ""name"": ""\u0939\u093f\u0928\u094d\u0926\u0940""}]",Released,Fast Food. High Times.,Harold & Kumar Go to White Castle,6.6,693
50000000,"[{""id"": 12, ""name"": ""Adventure""}]",,10586,"[{""id"": 409, ""name"": ""africa""}, {""id"": 2043, ""name"": ""lion""}, {""id"": 3450, ""name"": ""bridge""}, {""id"": 9672, ""name"": ""based on true story""}, {""id"": 9895, ""name"": ""kenya""}, {""id"": 158130, ""name"": ""animal attack""}, {""id"": 158215, ""name"": ""lion attack""}, {""id"": 158217, ""name"": ""colonialism""}, {""id"": 158219, ""name"": ""swahili""}]",en,The Ghost and the Darkness,"Sir Robert Beaumont is behind schedule on a railroad in Africa. Enlisting noted engineer John Henry Patterson to right the ship, Beaumont expects results. Everything seems great until the crew discovers the mutilated corpse of the project's foreman, seemingly killed by a lion. After several more attacks, Patterson calls in famed hunter Charles Remington, who has finally met his match in the bloodthirsty lions.",12.46525,"[{""name"": ""Constellation Films"", ""id"": 457}, {""name"": ""Paramount"", ""id"": 6033}]","[{""iso_3166_1"": ""DE"", ""name"": ""Germany""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1996-10-11,75000000,109.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Prey For The Hunters,The Ghost and the Darkness,6.4,236
0,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}]",,53502,"[{""id"": 3133, ""name"": ""vampire""}, {""id"": 12377, ""name"": ""zombie""}, {""id"": 157141, ""name"": ""vanity project""}, {""id"": 220112, ""name"": ""mad cow disease""}]",en,The Dead Undead,Good Vampires battle Zombie Vampires while trying to hide their own identity and prevent the infection from spreading.,0.249457,[],[],2010-05-13,0,90.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,How Do You Kill Something That's Already Dead?,The Dead Undead,3.1,6
