budget,genres,homepage,id,keywords,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count
30000000,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",http://www.tigger.com,15655,"[{""id"": 3905, ""name"": ""owl""}, {""id"": 4144, ""name"": ""donkey""}, {""id"": 4809, ""name"": ""tiger""}, {""id"": 8082, ""name"": ""piglet""}, {""id"": 10468, ""name"": ""bear""}, {""id"": 15199, ""name"": ""rabbit""}, {""id"": 187056, ""name"": ""woman director""}]",en,The Tigger Movie,"As it happens, everybody - Pooh, Piglet, Eeyore, Roo, Rabbit, Owl - is busy preparing a suitable winter home for Eeyore. When everything they do seems to get undone by Tigger's exuberant bouncing, Rabbit suggest Tigger go outside and find other tiggers to bounce with - a notion Tigger finds ridiculous because, after all, he's ""the onliest one"" Or is he?",9.829859,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2000-02-11,45554533,77.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,,The Tigger Movie,6.3,143
0,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 10752, ""name"": ""War""}]",,17044,[],en,The Land Girls,"During World War II, the organisation ""The Women's Land Army"" recruited women to work on British farms while the men were off to war. Three such ""land girls"" of different social backgrounds - quiet Stella, young hairdresser Prue, and Cambridge graduate Ag - become best friends in spite of their different backgrounds.",1.278092,"[{""name"": ""Channel Four Films"", ""id"": 181}, {""name"": ""Intermedia Films"", ""id"": 763}, {""name"": ""Greenpoint Films"", ""id"": 12918}]","[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""FR"", ""name"": ""France""}]",1998-09-25,0,111.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,The story of three young women and the events that would change their lives... The friendships that would stay with them forever... and the loves that would change their hearts.,The Land Girls,7.0,3
250000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]",http://www.x-menmovies.com/,127585,"[{""id"": 1228, ""name"": ""1970s""}, {""id"": 1852, ""name"": ""mutant""}, {""id"": 4379, ""name"": ""time travel""}, {""id"": 8828, ""name"": ""marvel comic""}, {""id"": 9717, ""name"": ""based on comic book""}, {""id"": 10761, ""name"": ""superhuman""}, {""id"": 14527, ""name"": ""storm""}, {""id"": 161271, ""name"": ""beast""}, {""id"": 179430, ""name"": ""aftercreditsstinger""}, {""id"": 206736, ""name"": ""changing the past or future""}]",en,X-Men: Days of Future Past,The ultimate X-Men ensemble fights a war for the survival of the species across two time periods as they join forces with their younger selves in an epic battle that must change the past – to save our future.,118.078691,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Donners' Company"", ""id"": 431}, {""name"": ""Marvel Entertainment"", ""id"": 7505}, {""name"": ""Bad Hat Harry Productions"", ""id"": 9168}, {""name"": ""TSG Entertainment"", ""id"": 22213}, {""name"": ""Down Productions"", ""id"": 37336}, {""name"": ""Revolution Sun Studios"", ""id"": 76043}]","[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2014-05-15,747862775,131.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,"To save the future, they must alter the past",X-Men: Days of Future Past,7.5,6032
2100000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 80, ""name"": ""Crime""}]",http://miamericamovie.net/,364083,"[{""id"": 40865, ""name"": ""new york state""}, {""id"": 160335, ""name"": ""hate crime""}]",en,Mi America,"A hate-crime has been committed in a the small city of Braxton, N.Y. Five migrant laborers have been beaten, shot, then ditched. This will upset the delicate balance of an ethnically diverse populace.",0.039007,"[{""name"": ""Industrial House Films"", ""id"": 65589}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2015-10-16,3330,126.0,"[{""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}, {""iso_639_1"": ""en"", ""name"": ""English""}]",Released,,Mi America,0.0,0
0,[],,346081,[],en,Sardaarji,A ghost hunter uses bottles to capture troublesome spirits.,0.296981,[],"[{""iso_3166_1"": ""IN"", ""name"": ""India""}]",2015-06-26,0,0.0,[],Released,,Sardaarji,9.5,2
2900000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]",,248,"[{""id"": 419, ""name"": ""dude""}, {""id"": 947, ""name"": ""prohibition""}, {""id"": 9758, ""name"": ""deception""}, {""id"": 14512, ""name"": ""new york city""}, {""id"": 33673, ""name"": ""apple""}, {""id"": 157904, ""name"": ""luck""}, {""id"": 162752, ""name"": ""dowager""}, {""id"": 165282, ""name"": ""high society""}, {""id"": 214548, ""name"": ""1930s""}]",en,Pocketful of Miracles,"Damon Runyon's fairytale, sweet and funny, is told by director Frank Capra. Boozy, brassy Apple Annie, a beggar with a basket of apples, is as much as part of downtown New York as old Broadway itself. Bootlegger Dave the Dude is a sucker for her apples --- he thinks they bring him luck. But Dave and girlfriend Queenie Martin need a lot more than luck when it turns out that Annie is in a jam and only they can help: Annie's daughter Louise, who has lived all her life in a Spanish convent, is coming to America with a Count and his son. The count's son wants to marry Louise, who thinks her mother is part of New York society. It's up to Dave and Queenie and their Runyonesque cronies to turn Annie into a lady and convince the Count and his son that they are hobnobbing with New York's elite.",3.370225,"[{""name"": ""Franton Production"", ""id"": 1044}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1961-12-18,5000000,136.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}]",Released,You have to see it to believe it!,Pocketful of Miracles,7.3,25
26000000,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}]",,11460,"[{""id"": 1562, ""name"": ""hostage""}, {""id"": 2250, ""name"": ""menace""}, {""id"": 2708, ""name"": ""hitman""}, {""id"": 3800, ""name"": ""airplane""}]",en,Red Eye,"After attending the funeral of her grandmother in Dallas, the Lux Atlantic Hotel manager Lisa is waiting for a flight to Miami. Due to the bad weather and consequent flight delay, she meets in the airport bar Jack Rippner, who is also in the waiting list. They sit together in the plane, and Jack reveals that he wants Lisa to change the room in Lux of an important American politician to facilitate a terrorist attempt against him. Otherwise, Lisa's father will be killed by a hit man. Lisa has to decide what to do with the menacing man at her side.",8.802626,"[{""name"": ""DreamWorks SKG"", ""id"": 27}, {""name"": ""Craven-Maddalena Films"", ""id"": 1600}, {""name"": ""BenderSpink"", ""id"": 6363}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2005-08-04,57891803,85.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""ru"", ""name"": ""P\u0443\u0441\u0441\u043a\u0438\u0439""}]",Released,Fear takes flight.,Red Eye,6.2,455
60000000,"[{""id"": 18, ""name"": ""Drama""}]",http://www.sonypictures.com/movies/eatpraylove/,38167,"[{""id"": 7348, ""name"": ""indonesia""}, {""id"": 11322, ""name"": ""female protagonist""}, {""id"": 14636, ""name"": ""india""}, {""id"": 15160, ""name"": ""divorce""}, {""id"": 192096, ""name"": ""bali""}]",en,Eat Pray Love,"Liz Gilbert had everything a modern woman is supposed to dream of having – a husband, a house and a successful career – yet like so many others, she found herself lost, confused and searching for what she really wanted in life. Newly divorced and at a crossroads, Gilbert steps out of her comfort zone, risking everything to change her life, embarking on a journey around the world that becomes a quest for self-discovery. In her travels, she discovers the true pleasure of nourishment by eating in Italy, the power of prayer in India and, finally and unexpectedly, the inner peace and balance of true love in Bali.",28.800112,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Red Om Films"", ""id"": 2455}, {""name"": ""Plan B Entertainment"", ""id"": 45778}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2010-08-12,204594016,133.0,"[{""iso_639_1"": ""pt"", ""name"": ""Portugu\u00eas""}, {""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""it"", ""name"": ""Italiano""}]",Released,Let Yourself GO,Eat Pray Love,5.8,636
1000000,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 27, ""name"": ""Horror""}]",http://www.grave-encounters.tv/,50698,"[{""id"": 2249, ""name"": ""camcorder""}, {""id"": 3026, ""name"": ""reality""}, {""id"": 4924, ""name"": ""insane asylum""}, {""id"": 9853, ""name"": ""paranormal""}, {""id"": 10224, ""name"": ""haunting""}, {""id"": 10323, ""name"": ""psychiatric hospital""}, {""id"": 15040, ""name"": ""ghost hunting""}, {""id"": 15043, ""name"": ""paranormal investigation""}, {""id"": 18129, ""name"": ""labyrinth""}, {""id"": 160174, ""name"": ""mental asylum""}, {""id"": 163053, ""name"": ""found footage""}]",en,Grave Encounters,A crew from a paranormal reality television show lock themselves in a haunted psychiatric hospital. They search for evidence of paranormal activity as they shoot what ends up becoming their final episode.,13.222268,"[{""name"": ""Darclight"", ""id"": 6448}, {""name"": ""Twin Engine Films"", ""id"": 12881}, {""name"": ""Digital Interference Productions"", ""id"": 52207}]","[{""iso_3166_1"": ""CA"", ""name"": ""Canada""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2011-09-09,0,92.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,They Were Searching For Proof.  They Found it.,Grave Encounters,6.1,381
35000000,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}]",http://www.premiumrush.com/,49526,"[{""id"": 242, ""name"": ""new york""}, {""id"": 11719, ""name"": ""dirty cop""}, {""id"": 41663, ""name"": ""bicycle courier""}, {""id"": 179431, ""name"": ""duringcreditsstinger""}, {""id"": 181356, ""name"": ""race against the clock""}, {""id"": 207761, ""name"": ""cyclist""}, {""id"": 223183, ""name"": ""bike messenger""}]",en,Premium Rush,"In Manhattan, a bike messenger picks up an envelope that attracts the interest of a dirty cop, who pursues the cyclist throughout the city.",17.709888,"[{""name"": ""Pariah Entertainment Group"", ""id"": 1271}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2012-08-24,31083599,91.0,"[{""iso_639_1"": ""zh"", ""name"": ""\u666e\u901a\u8bdd""}, {""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Ride Like Hell,Premium Rush,6.2,832
